StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Elig1,CSAT,Churn,Drivers_1,Drivers_2,Drivers_3,Drivers_4,Drivers_5,Drivers_6,Drivers_7,Drivers_8,Drivers_9,Drivers_10,Age,Gender,Gender_4_TEXT,Education,Employment,Income,Marital,Spanish_Hispanic_Latino,Race,Household,Zip,QState_Zip
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Eligibility,Satisfaction with a product or service,Churn: Likelihood to switch to a new brand,Drivers - Time required to cook,Drivers - Ease of cooking instructions,Drivers - Quality of ingredients,Drivers - Value for the cost,Drivers - Website experience,Drivers - Taste/flavor of meals,Drivers - Variety over time,Drivers - Portion size,Drivers - Availability of offerings that meet your nutritional needs,Drivers - Shipping & packaging,How old are you?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,What is the highest level of education you have completed?,What best describes your employment status over the last three months?,What was your total household income before taxes during the past 12 months?,What is your current marital status?,"Are you of Spanish, Hispanic, or Latino origin?",Choose one or more races that you consider yourself to be:,How many people live or stay in this household at least half the time?,What is your ZIP code?,QState_Zip
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID15""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID6_6""}","{""ImportId"":""QID6_7""}","{""ImportId"":""QID6_8""}","{""ImportId"":""QID6_9""}","{""ImportId"":""QID6_10""}","{""ImportId"":""QID8""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_4_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID17""}","{""ImportId"":""QID14""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QState_Zip""}"
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_0AjqaahTMbqFOJM,,,,,,,,,"YumYum,HelloFresh",Somewhat satisfied,Might or might not,Very satisfied,Very satisfied,Somewhat dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very dissatisfied,25-34 years old,Male,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS)",Working full-time,"$150,000 or more ",Never been married,No,White,1,78516,TX
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_0DkMCR86tPk28po,,,,,,,,,"YumYum,Hungryroot",Neither satisfied nor dissatisfied,Might or might not,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Very dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,65+ years old,Male,,Associates or technical degree,Retired,"$50,000-$74,999",Widowed,Yes,Black or African American,1,78239,TX
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_0GnHfUHBaxPuPie,,,,,,,,,YumYum,Neither satisfied nor dissatisfied,Probably will not,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Very dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,25-34 years old,Male,,Bachelor’s degree,Working full-time,"$25,000-$49,999",Living with a partner,No,Asian,2,75638,TX
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_0k7zoVzhBSQjDkW,,,,,,,,,YumYum,Very dissatisfied,Definitely will,Very dissatisfied,Somewhat dissatisfied,Very dissatisfied,Somewhat satisfied,Somewhat satisfied,Very dissatisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,18-24 years old,Male,,Bachelor’s degree,Student,"$50,000-$74,999",Married,No,White,3,73078,OK
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_0qDUtHlXFM7pCXc,,,,,,,,,"YumYum,HelloFresh,Hungryroot",Very satisfied,Might or might not,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Very dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,25-34 years old,Female,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS)",Working full-time,"$150,000 or more ",Never been married,No,Asian,1,32222,FL
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_1H5mGgPc2oAUjRQ,,,,,,,,,"YumYum,HelloFresh,Blue Apron",Neither satisfied nor dissatisfied,Probably will not,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat dissatisfied,25-34 years old,Female,,Bachelor’s degree,Working full-time,"$25,000-$49,999",Never been married,No,White,1,60612,IL
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_1HVLMiuK9GMMu5E,,,,,,,,,YumYum,Neither satisfied nor dissatisfied,Probably will,Somewhat satisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Somewhat satisfied,Very satisfied,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,55-64 years old,Male,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS)",A homemaker or stay-at-home parent,"$150,000 or more ",Married,Yes,Black or African American,2,2726,MA
2021-06-15 09:39:36,2021-06-15 09:39:36,Imported,,,,True,2023-11-19 13:14:06,R_1Lf4bAhyQ41Ouoe,,,,,,,,,YumYum,Very dissatisfied,Probably will,Very dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,55-64 years old,Male,,Associates or technical degree,Working full-time,"$25,000-$49,999",Married,No,,2,55303,MN
